word,galls
이닝,"[20210818_lgtwins_new(226.94),20210818_samsunglions_new(135.40),20210818_giants_new2(70.56),20210818_baseball_ab2(53.40),20210818_tigers_new(40.05),20210818_ktwiz(38.14),20210818_hanwhaeagles_new(38.14),20210818_sh_new(20.98),20210818_skwyverns(13.35),20210818_doosanbears_new1(13.35)]"
잦스틴,"[20210818_w_entertainer(327.04),20210818_producex(3.52)]"
투수,"[20210818_giants_new2(194.90),20210818_lgtwins_new(156.95),20210818_tigers_new(96.59),20210818_samsunglions_new(87.96),20210818_hanwhaeagles_new(82.79),20210818_baseball_ab2(51.74),20210818_sh_new(36.22),20210818_lotto_new2(32.77),20210818_ktwiz(32.77),20210818_doosanbears_new1(31.05)]"
댓츠,[20210818_w_entertainer(301.99)]
학,"[20210818_w_entertainer(285.75),20210818_producex(45.39),20210818_samsunglions_new(18.57),20210818_m_entertainer1(11.35),20210818_gongik_new(10.32),20210818_elsword(9.28),20210818_tigers_new(8.25),20210818_drama_new3(6.19),20210818_comic_new2(5.16),20210818_baseball_ab2(4.13)]"
병살,"[20210818_lgtwins_new(193.65),20210818_ktwiz(94.85),20210818_samsunglions_new(88.92),20210818_sh_new(71.14),20210818_baseball_ab2(41.50),20210818_giants_new2(41.50),20210818_skwyverns(33.59),20210818_lotto_new2(29.64),20210818_doosanbears_new1(29.64),20210818_ncdinos(19.76)]"
마무리,"[20210818_lgtwins_new(230.65),20210818_hanwhaeagles_new(54.63),20210818_giants_new2(14.57),20210818_baseball_ab2(12.14),20210818_tigers_new(12.14),20210818_samsunglions_new(7.28),20210818_ncdinos(4.86),20210818_sh_new(4.86),20210818_doosanbears_new1(3.64),20210818_skwyverns(3.64)]"
뿡2,"[20210818_w_entertainer(881.47),20210818_m_entertainer1(9.69),20210818_producex(3.23)]"
스틴,"[20210818_w_entertainer(680.65),20210818_producex(13.35),20210818_m_entertainer1(8.01),20210818_akb48(5.34),20210818_top12(5.34),20210818_comic_new2(2.67)]"
여메,"[20210818_w_entertainer(371.32),20210818_m_entertainer1(16.14),20210818_producex(12.92)]"
선인간,[20210818_w_entertainer(333.37)]
잦스틴,"[20210818_w_entertainer(327.04),20210818_producex(3.52)]"
댓츠,[20210818_w_entertainer(301.99)]
학,"[20210818_w_entertainer(285.75),20210818_producex(45.39),20210818_samsunglions_new(18.57),20210818_m_entertainer1(11.35),20210818_gongik_new(10.32),20210818_elsword(9.28),20210818_tigers_new(8.25),20210818_drama_new3(6.19),20210818_comic_new2(5.16),20210818_baseball_ab2(4.13)]"
뿡힛,[20210818_w_entertainer(266.69)]
중안블,[20210818_w_entertainer(262.77)]
미니진,[20210818_w_entertainer(258.85)]
할망,"[20210818_w_entertainer(221.54),20210818_m_entertainer1(10.55)]"
언냐들,"[20210818_m_entertainer1(233.57),20210818_w_entertainer(203.50),20210818_bts(16.19),20210818_mistertrot(11.56),20210818_producex(2.31),20210818_fantasy_new(2.31),20210818_redvelvet(2.31),20210818_lgbt(2.31),20210818_typemoon(2.31)]"
