rank, score, word, galls
28,855.0,골드,"[20210818_lostark(699.0),20210818_leagueoflegends4(51.0),20210818_ib_new2(17.0),20210818_stream(11.0),20210818_d_fighter_new2(11.0),20210818_maplestory(7.0),20210818_fantasy_new(7.0),20210818_game_mabinogi1(6.0),20210818_mabi_heroes2(5.0),20210818_ff14(5.0),20210818_figureskating_new(4.0),20210818_ani1_new1(4.0),20210818_tr(4.0),20210818_bitcoins(2.0),20210818_granblue(2.0),20210818_iu_new(2.0),20210818_smartphone(2.0),20210818_ncdinos(2.0),20210818_baseball_new10(2.0),20210818_cs_new1(1.0),20210818_touhou(1.0),20210818_diet(1.0),20210818_pridepc_new4(1.0),20210818_pripara(1.0),20210818_drama_new3(1.0),20210818_car_new1(1.0),20210818_depression_new1(1.0),20210818_comic_new2(1.0),20210818_elsword(1.0),20210818_hiphop(1.0)]"
29,851.0,감바스,[20210818_ib_new2(851.0)]
30,840.0,케리,"[20210818_leagueoflegends4(837.0),20210818_fantasy_new(4.0)]"
31,817.0,퀴,"[20210818_ib_new2(206.0),20210818_top12(196.0),20210818_w_entertainer(68.0),20210818_nba(64.0),20210818_redvelvet(51.0),20210818_figureskating_new(45.0),20210818_grsgills(58.0),20210818_twice_new(20.0),20210818_samsunglions_new(11.0),20210818_blackpink(11.0),20210818_football_new7(10.0),20210818_etc_program2(10.0),20210818_akb48(9.0),20210818_baseball_new10(9.0),20210818_kart(6.0),20210818_leagueoflegends4(6.0),20210818_producex(4.0),20210818_giants_new2(3.0),20210818_pumpitup(3.0),20210818_drama_new3(3.0),20210818_baseball_ab2(3.0),20210818_bitcoins(3.0),20210818_fashion_new1(2.0),20210818_comic_new2(2.0),20210818_hiphop(2.0),20210818_mabi_heroes2(1.0),20210818_bts(1.0),20210818_lostark(1.0),20210818_pridepc_new4(1.0),20210818_stock_new2(1.0),20210818_sbsdocu(1.0),20210818_sdvx(1.0),20210818_toy(1.0),20210818_m_entertainer1(1.0),20210818_stream(1.0),20210818_jumper(1.0)]"
32,780.0,페이,"[20210818_leagueoflegends4(597.0),20210818_smartphone(24.0),20210818_hanwhaeagles_new(20.0),20210818_typemoon(13.0),20210818_idolmaster(10.0),20210818_football_new7(9.0),20210818_samsunglions_new(8.0),20210818_neostock(8.0),20210818_fantasy_new(7.0),20210818_comic_new2(7.0),20210818_m_entertainer1(6.0),20210818_baseball_ab2(6.0),20210818_bitcoins(5.0),20210818_cs_new1(5.0),20210818_lostark(4.0),20210818_chicken(4.0),20210818_toy(4.0),20210818_baseball_new10(4.0),20210818_maplestory(3.0),20210818_loan_new1(3.0),20210818_car_new1(3.0),20210818_ib_new2(2.0),20210818_ufc(2.0),20210818_w_entertainer(2.0),20210818_nba(1.0),20210818_granblue(1.0),20210818_game_mabinogi1(1.0),20210818_producex(1.0),20210818_drama_new3(1.0),20210818_sbsdocu(1.0),20210818_stream(1.0),20210818_bns(1.0),20210818_elsword(1.0),20210818_government(1.0),20210818_pridepc_new4(1.0),20210818_fashion_new1(1.0),20210818_divination(1.0),20210818_closers(1.0),20210818_pripara(1.0),20210818_extra(1.0),20210818_etc_program2(1.0),20210818_pokemon(1.0),20210818_d_fighter_new2(1.0),20210818_grsgills(1.0),20210818_top12(1.0),20210818_ncdinos(1.0),20210818_hiphop(1.0)]"
33,774.0,선수,"[20210818_leagueoflegends4(223.0),20210818_football_new7(165.0),20210818_lgtwins_new(39.0),20210818_baseball_ab2(37.0),20210818_giants_new2(34.0),20210818_tigers_new(30.0),20210818_nba(31.0),20210818_samsunglions_new(24.0),20210818_doosanbears_new1(20.0),20210818_figureskating_new(22.0),20210818_mistertrot(17.0),20210818_ufc(17.0),20210818_hanwhaeagles_new(17.0),20210818_drama_new3(14.0),20210818_sh_new(12.0),20210818_fifaonline(12.0),20210818_baseball_new10(10.0),20210818_skwyverns(7.0),20210818_ncdinos(7.0),20210818_comic_new2(5.0),20210818_kart(4.0),20210818_ktwiz(3.0),20210818_lotto_new2(3.0),20210818_divination(2.0),20210818_fantasy_new(2.0),20210818_bitcoins(2.0),20210818_extra(2.0),20210818_top12(2.0),20210818_redvelvet(2.0),20210818_idolmaster(2.0),20210818_government(1.0),20210818_lostark(1.0),20210818_loan_new1(1.0),20210818_ib_new2(1.0),20210818_etc_program2(1.0),20210818_pokemon(1.0),20210818_toy(1.0),20210818_m_entertainer1(1.0),20210818_stream(1.0),20210818_w_entertainer(1.0),20210818_d_fighter_new2(1.0),20210818_car_new1(1.0),20210818_depression_new1(1.0)]"
34,765.0,롤,"[20210818_ib_new2(204.0),20210818_leagueoflegends4(307.0),20210818_stream(77.0),20210818_fantasy_new(17.0),20210818_closers(14.0),20210818_pridepc_new4(15.0),20210818_lostark(13.0),20210818_maplestory(12.0),20210818_depression_new1(13.0),20210818_baseball_new10(11.0),20210818_comic_new2(8.0),20210818_cs_new1(6.0),20210818_lgbt(5.0),20210818_iu_new(3.0),20210818_extra(3.0),20210818_tr(3.0),20210818_giants_new2(3.0),20210818_loan_new1(2.0),20210818_w_entertainer(2.0),20210818_d_fighter_new2(2.0),20210818_idolmaster(2.0),20210818_fifaonline(2.0),20210818_lgtwins_new(2.0),20210818_football_new7(2.0),20210818_ani1_new1(2.0),20210818_jumper(2.0),20210818_grsgills(2.0),20210818_baseball_ab2(2.0),20210818_doosanbears_new1(1.0),20210818_ff14(1.0),20210818_drama_new3(1.0),20210818_lotto_new2(1.0),20210818_neostock(1.0),20210818_top12(1.0),20210818_tabletpc(1.0),20210818_elsword(1.0),20210818_nba(1.0),20210818_government(1.0),20210818_diet(1.0),20210818_blackpink(1.0),20210818_fight_game(1.0),20210818_hiphop(1.0),20210818_bitcoins(0.0),20210818_figureskating_new(0.0),20210818_immovables(0.0),20210818_mabi_heroes2(0.0),20210818_granblue(0.0),20210818_arbeit(0.0),20210818_akb48(0.0),20210818_fashion_new1(0.0),20210818_producex(0.0),20210818_exam_new2(0.0),20210818_ktwiz(0.0),20210818_etc_program2(0.0),20210818_chicken(0.0),20210818_mystery(0.0),20210818_pokemon(0.0),20210818_sbsdocu(0.0),20210818_sdvx(0.0),20210818_m_entertainer1(0.0),20210818_tigers_new(0.0),20210818_car_new1(0.0)]"
35,760.0,성태,"[20210818_stream(91.0),20210818_ib_new2(668.0)]"
36,753.0,아프리카,"[20210818_leagueoflegends4(152.0),20210818_ib_new2(500.0),20210818_stream(34.0),20210818_lostark(13.0),20210818_neostock(8.0),20210818_baseball_new10(6.0),20210818_lgtwins_new(5.0),20210818_drama_new3(5.0),20210818_fantasy_new(5.0),20210818_comic_new2(5.0),20210818_maplestory(3.0),20210818_top12(3.0),20210818_baseball_ab2(3.0),20210818_giants_new2(2.0),20210818_football_new7(2.0),20210818_plastic_s(2.0),20210818_loan_new1(2.0),20210818_w_entertainer(2.0),20210818_fifaonline(2.0)]"
37,751.0,웨이,"[20210818_grsgills(99.0),20210818_lostark(535.0),20210818_etc_program2(52.0),20210818_sphero(11.0),20210818_winkgall(5.0),20210818_leagueoflegends4(4.0),20210818_top12(4.0),20210818_tabletpc(4.0),20210818_comic_new2(4.0),20210818_lgtwins_new(2.0),20210818_typemoon(2.0),20210818_smartphone(2.0),20210818_gf(2.0),20210818_stream(2.0),20210818_d_fighter_new2(2.0),20210818_baseball_ab2(2.0),20210818_redvelvet(2.0),20210818_twice_new(2.0),20210818_giants_new2(1.0),20210818_skwyverns(1.0),20210818_pridepc_new4(1.0),20210818_maplestory(1.0),20210818_extra(1.0),20210818_pokemon(1.0),20210818_toy(1.0),20210818_fantasy_new(1.0),20210818_m_entertainer1(1.0),20210818_lgbt(1.0),20210818_idolmaster(1.0),20210818_hiphop(1.0)]"
38,748.0,리플,"[20210818_bitcoins(696.0),20210818_comic_new2(15.0),20210818_maplestory(8.0),20210818_baseball_new10(6.0),20210818_leagueoflegends4(4.0),20210818_neostock(4.0),20210818_granblue(2.0),20210818_japan_entertainment(2.0),20210818_pumpitup(2.0),20210818_extra(2.0),20210818_ani1_new1(2.0),20210818_pokemon(2.0),20210818_fantasy_new(2.0),20210818_lgbt(2.0)]"
39,746.0,야구,"[20210818_samsunglions_new(104.0),20210818_giants_new2(95.0),20210818_lgtwins_new(93.0),20210818_baseball_ab2(93.0),20210818_tigers_new(55.0),20210818_football_new7(42.0),20210818_lotto_new2(38.0),20210818_doosanbears_new1(33.0),20210818_skwyverns(33.0),20210818_hanwhaeagles_new(40.0),20210818_baseball_new10(26.0),20210818_ncdinos(18.0),20210818_sh_new(17.0),20210818_ktwiz(14.0),20210818_figureskating_new(9.0),20210818_leagueoflegends4(4.0),20210818_idolmaster(4.0),20210818_nba(3.0),20210818_drama_new3(3.0),20210818_divination(2.0),20210818_mistertrot(2.0),20210818_ib_new2(2.0),20210818_fantasy_new(2.0),20210818_depression_new1(2.0),20210818_sphero(1.0),20210818_mabi_heroes2(1.0),20210818_lostark(1.0),20210818_maplestory(1.0),20210818_boardgame(1.0),20210818_etc_program2(1.0),20210818_toy(1.0),20210818_stream(1.0),20210818_tr(1.0),20210818_bns(1.0),20210818_comic_new2(1.0)]"
40,742.0,삼전,"[20210818_neostock(629.0),20210818_m_entertainer1(30.0),20210818_smartphone(18.0),20210818_comic_new2(11.0),20210818_drama_new3(9.0),20210818_samsunglions_new(5.0),20210818_maplestory(5.0),20210818_fantasy_new(5.0),20210818_pridepc_new4(3.0),20210818_fashion_new1(3.0),20210818_divination(3.0),20210818_car_new1(3.0),20210818_redvelvet(3.0),20210818_baseball_new10(3.0),20210818_bitcoins(3.0),20210818_lgtwins_new(2.0),20210818_lotto_new2(2.0),20210818_etc_program2(2.0),20210818_bike(2.0),20210818_toy(2.0),20210818_idolmaster(2.0)]"
41,733.0,동희,"[20210818_giants_new2(622.0),20210818_tigers_new(46.0),20210818_sh_new(16.0),20210818_baseball_ab2(16.0),20210818_lgtwins_new(14.0),20210818_skwyverns(12.0),20210818_samsunglions_new(2.0),20210818_doosanbears_new1(2.0),20210818_hanwhaeagles_new(2.0)]"
42,728.0,서운,"[20210818_stream(724.0),20210818_ani1_new1(4.0)]"
43,719.0,수비,"[20210818_lgtwins_new(287.0),20210818_baseball_ab2(59.0),20210818_giants_new2(87.0),20210818_sh_new(52.0),20210818_football_new7(32.0),20210818_ktwiz(32.0),20210818_doosanbears_new1(27.0),20210818_tigers_new(26.0),20210818_hanwhaeagles_new(24.0),20210818_ncdinos(21.0),20210818_skwyverns(18.0),20210818_nba(15.0),20210818_samsunglions_new(15.0),20210818_fifaonline(6.0),20210818_lotto_new2(5.0),20210818_granblue(3.0),20210818_depression_new1(3.0),20210818_drama_new3(2.0),20210818_ib_new2(2.0),20210818_fantasy_new(2.0),20210818_hiphop(2.0)]"
44,718.0,플댑,[20210818_bitcoins(718.0)]
